web-scraper-order;Pages;pages;web-scraper-start-url;vetements_links;vetements_links-href;types_habits;prix;adresse;image_lien-src
1707687055-756;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border8mois;https://sn.coinafrique.com/annonce/vetements-enfants/robes-enfant-4223428;Robes enfant;Prix sur demande;HLM, Dakar, Sénégal;https://images.coinafrique.com/thumb_4223428_uploaded_image1_1684582026.jpg
1707687062-757;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border8mois;https://sn.coinafrique.com/annonce/vetements-enfants/maillot-enfant-4236342;Maillot enfant;Prix sur demande;Parcelle Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_4236342_uploaded_image1_1685480812.jpg
1707687070-758;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border8mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-friperie-enfant-4258714;Vêtements friperie enfant;Prix sur demande;Colobane, Dakar, Sénégal;
1707687077-759;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border8mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-friperie-enfant-4258716;Vêtements friperie enfant;Prix sur demande;Colobane, Dakar, Sénégal;
1707687085-760;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border8mois;https://sn.coinafrique.com/annonce/vetements-enfants/pantalons-enfant-4258717;Pantalons enfant;Prix sur demande;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4258717_uploaded_image2_1686906277.jpeg
1707687099-761;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border8mois;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-4258722;Ensemble enfant;Prix sur demande;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4464056_uploaded_image1_1700401019.jpg
1707687112-762;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border8mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-friperie-enfant-4258723;Vêtements friperie enfant;Prix sur demande;Colobane, Dakar, Sénégal;
1707687119-763;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border7mois;https://sn.coinafrique.com/annonce/vetements-enfants/sous-vetements-enfants-4224162;Sous vêtements   enfants;13 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_3774517_uploaded_image1_1657107012.jpg
1707687126-764;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border7mois;https://sn.coinafrique.com/annonce/vetements-enfants/maillots-enfants-4267451;Maillots enfants;10 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4267451_uploaded_image1_1687487532.jpg
1707687133-765;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border7mois;https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-4273754;Robe enfant;Prix sur demande;Mermoz-Sacré Coeur, Dakar, Sénégal;https://images.coinafrique.com/thumb_4273754_uploaded_image1_1687981649.jpg
1707687140-766;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border7mois;https://sn.coinafrique.com/annonce/vetements-enfants/hijab-enfant-4280858;Hijab enfant;Prix sur demande;Guediawaye, Dakar, Sénégal;https://images.coinafrique.com/thumb_4280858_uploaded_image1_1688492406.jpg
1707687148-767;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border7mois;https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-en-coton-4284180;Pantalon en coton;6 500 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4284180_uploaded_image2_1688677380.jpeg
1707687155-768;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border6mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4265951;Vêtements enfants;7 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
1707687162-769;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border6mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4266992;Vêtements enfants;8 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
1707687171-770;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border6mois;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-4267915;Ensemble pour enfants;10 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4464056_uploaded_image1_1700401019.jpg
1707687179-771;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border6mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4267930;Vêtements enfants;Prix sur demande;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
1707687188-772;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border6mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4268605;Vêtements enfants;8 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
1707687195-773;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border6mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4268608;Vêtements enfants;8 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
1707687202-774;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border6mois;https://sn.coinafrique.com/annonce/vetements-enfants/culotte-berksha-enfant-4304204;Culotte Berksha enfant;15 000 CFA;Ngor, Dakar, Sénégal;https://images.coinafrique.com/thumb_4304204_uploaded_image1_1690023768.jpg
1707687209-775;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border6mois;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-4307424;Ensemble enfant;Prix sur demande;Parcelle Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_4307424_uploaded_image1_1690281279.jpg
1707687216-776;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border6mois;https://sn.coinafrique.com/annonce/vetements-enfants/pyjama-bebe-4316063;Pyjama bébé;6 000 CFA;Dakar, Sénégal;
1707687226-777;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border6mois;https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfants-4288629;Djellaba enfants;8 500 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4288629_uploaded_image1_1688997320.jpg
1707687235-778;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/couette-bebe-4338195;Couette bébé;Prix sur demande;HLM, Dakar, Sénégal;
1707687242-779;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4314416;Vêtements enfants;2 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
1707687257-780;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/maillot-enfant-4344836;Maillot enfant;2 000 CFA;Thies, Sénégal;https://images.coinafrique.com/thumb_4344836_uploaded_image1_1692651906.jpg
1707687263-781;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-4327566;Vêtement enfant;4 500 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_3453271_uploaded_image1_1637794848.jpg
1707687269-782;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-4330576;Vêtement  enfant;Prix sur demande;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_3453271_uploaded_image1_1637794848.jpg
1707687277-783;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-4330580;Vêtement enfants;6 500 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_3453271_uploaded_image1_1637794848.jpg
1707687283-784;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-4370442;Ensemble enfant;11 500 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4479762_uploaded_image1_1701402947.jpg
1707687289-785;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/robe-salopette-enfant-4370465;Robe salopette enfant;10 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4370465_uploaded_image1_1694292219.jpg
1707687296-786;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-4333845;Vêtement enfant;6 500 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_3453271_uploaded_image1_1637794848.jpg
1707687303-787;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/t-shirt-4340716;T-shirt;9 000 CFA;Ngor, Dakar, Sénégal;https://images.coinafrique.com/thumb_4340716_uploaded_image1_1692364927.jpg
1707687310-788;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-vetement-enfant-4340725;Ensemble vêtement enfant;15 300 CFA;Ngor, Dakar, Sénégal;https://images.coinafrique.com/thumb_3774517_uploaded_image1_1657107012.jpg
1707687317-789;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-friperies-enfant-4375124;Vêtements friperies  enfant;Prix sur demande;Colobane, Dakar, Sénégal;
1707687323-790;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-4375129;Vêtement enfant;Prix sur demande;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
1707687332-791;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4375138;Vêtements enfants;Prix sur demande;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
1707687339-792;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border5mois;https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-4342288;Robe enfant;9 300 CFA;Ngor, Dakar, Sénégal;https://images.coinafrique.com/thumb_4342288_uploaded_image1_1692460517.jpg
1707687347-793;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border4mois;https://sn.coinafrique.com/annonce/vetements-enfants/short-enfant-4381693;Short enfant;Prix sur demande;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4381693_uploaded_image1_1695062191.jpg
1707687354-794;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border4mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-fille-4350530;Vêtements fille;4 000 CFA;Dakar Plateau, Dakar, Sénégal;
1707687365-795;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border4mois;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-2-pieces-pour-fille-4402284;Ensemble 2 pièces pour fille;14 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4402284_uploaded_image1_1696423054.jpg
1707687378-796;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border4mois;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-short-t-shirt-4402983;Ensemble short + t-shirt;8 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4402988_uploaded_image1_1696452036.jpg
1707687386-797;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border4mois;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-garcon-4402988;Ensemble garçon;7 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4402988_uploaded_image1_1696452036.jpg
1707687398-798;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border4mois;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-4402991;Ensemble enfant;13 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4479762_uploaded_image1_1701402947.jpg
1707687414-799;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border4mois;https://sn.coinafrique.com/annonce/vetements-enfants/polo-lacoste-enfant-4405119;Polo Lacoste enfant;1 500 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4405119_uploaded_image1_1696581900.jpg
1707687440-800;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border4mois;https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-pour-enfants-4405127;Pantalon pour enfants;2 500 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4405127_uploaded_image1_1696582094.jpg
1707687448-801;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border4mois;https://sn.coinafrique.com/annonce/vetements-enfants/bambinerie-enfant-4416818;Bambinerie enfant;Prix sur demande;Mermoz-Sacré Coeur, Dakar, Sénégal;https://images.coinafrique.com/thumb_4416818_uploaded_image3_1697296868.jpeg
1707687455-802;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border3mois;https://sn.coinafrique.com/annonce/vetements-enfants/robe-de-priere-enfant-4421455;Robe de prière enfant;2 500 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4421455_uploaded_image1_1697627353.jpg
1707687466-803;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border3mois;https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-4430601;Robe enfant;15 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4430601_uploaded_image1_1698283193.jpg
1707687473-804;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border3mois;https://sn.coinafrique.com/annonce/vetements-enfants/jeans-pour-enfants-4397937;Jeans  pour enfants;6 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4397937_uploaded_image1_1696183097.jpg
1707687482-805;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border3mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-4394813;Vêtement enfant;4 500 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_3453271_uploaded_image1_1637794848.jpg
1707687489-806;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border3mois;https://sn.coinafrique.com/annonce/vetements-enfants/polos-lacoste-enfants-4394815;Polos  Lacoste enfants;4 500 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4394815_uploaded_image1_1695942580.jpg
1707687497-807;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border3mois;https://sn.coinafrique.com/annonce/vetements-enfants/pulls-enfant-4453370;Pulls enfant;2 000 CFA;Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_4453370_uploaded_image1_1699697688.jpg
1707687506-808;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border2mois;https://sn.coinafrique.com/annonce/vetements-enfants/slips-enfants-4467057;Slips enfants;7 000 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;https://images.coinafrique.com/thumb_4467057_uploaded_image1_1700591564.jpg
1707687516-809;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border2mois;https://sn.coinafrique.com/annonce/vetements-enfants/boxers-fillette-4471141;Boxers fillette;6 500 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4471141_uploaded_image1_1700838256.jpg
1707687535-810;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border2mois;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-veste-pour-enfant-4479762;Ensemble veste pour enfant;23 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4479762_uploaded_image1_1701402947.jpg
1707687546-811;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border2mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-4481479;Vêtements bébé;50 000 CFA;Sipres, Dakar, Sénégal;
1707687553-812;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border2mois;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-4455065;Ensemble enfant;Prix sur demande;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4512928_uploaded_image1_1703449636.jpg
1707687560-813;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border2mois;https://sn.coinafrique.com/annonce/vetements-enfants/calecons-garcon-4483580;Caleçons garçon;6 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4483580_uploaded_image1_1701637915.jpg
1707687569-814;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border1mois;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfants-2-6ans-4464056;Ensemble enfants 2 - 6ans;8 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4464056_uploaded_image1_1700401019.jpg
1707687577-815;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border1mois;https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfant-4509708;Friperie enfant;3 500 CFA;Sicap Liberté, Dakar, Sénégal;https://images.coinafrique.com/thumb_4509708_uploaded_image1_1703199232.jpg
1707687584-816;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border1mois;https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-4511870;Blouson enfant;5 500 CFA;Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_4511874_uploaded_image1_1703350100.jpg
1707687591-817;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border1mois;https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-4511874;Blouson enfant;5 000 CFA;Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_4511874_uploaded_image1_1703350100.jpg
1707687597-818;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border1mois;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-4511886;Vêtements enfant;12 000 CFA;Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_4511886_uploaded_image1_1703350307.jpg
1707687605-819;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border1mois;https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-4513354;Friperie enfants;Prix sur demande;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4517974_uploaded_image2_1703783715.jpeg
1707687612-820;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border1mois;https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-4516547;Friperie enfants;Prix sur demande;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4517974_uploaded_image2_1703783715.jpeg
1707687619-821;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border1mois;https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-4517974;Friperie enfants;Prix sur demande;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4517974_uploaded_image2_1703783715.jpeg
1707687627-822;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border1mois;https://sn.coinafrique.com/annonce/vetements-enfants/pull-pour-enfant-4522837;Pull pour enfant;5 000 CFA;Thies, Sénégal;https://images.coinafrique.com/thumb_4522850_uploaded_image1_1704190687.jpg
1707687638-823;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border1mois;https://sn.coinafrique.com/annonce/vetements-enfants/pull-enfant-avec-capuche-4522850;Pull enfant avec capuche;5 000 CFA;Thies, Sénégal;https://images.coinafrique.com/thumb_4522850_uploaded_image1_1704190687.jpg
1707687649-824;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border1mois;https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-fille-4527014;Blouson pour fille;6 000 CFA;Almadies, Dakar, Sénégal;https://images.coinafrique.com/thumb_4527014_uploaded_image1_1704375688.jpg
1707687663-825;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border1mois;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blouson-pour-fille-4538922;Ensemble blouson pour fille;5 500 CFA;Thies, Sénégal;https://images.coinafrique.com/thumb_4577293_uploaded_image1_1707012822.jpg
1707687675-826;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border27jours;https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfant-4-15-ans-4505009;Blouson pour enfant 4 - 15 ans;8 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4505009_uploaded_image1_1702930372.jpg
1707687683-827;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border24jours;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4510416;Vêtements enfants;8 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
1707687690-828;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border24jours;https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-4510412;Vetement enfants;8 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
1707687697-829;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border19jours;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-4512928;Ensemble enfant;6 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4512928_uploaded_image1_1703449636.jpg
1707687704-830;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border16jours;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4519620;Vetements  enfants;8 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
1707687714-831;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border15jours;https://sn.coinafrique.com/annonce/vetements-enfants/djallaba-enfant-4564575;Djallaba enfant;6 000 CFA;Grand Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_4564575_uploaded_image1_1706303754.jpg
1707687722-832;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border11jours;https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-4571564;Vêtement enfant;10 000 CFA;Keur Massar, Sénégal;https://images.coinafrique.com/thumb_3774517_uploaded_image1_1657107012.jpg
1707687729-833;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border11jours;https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-4571570;Vêtement enfant;8 500 CFA;Keur Massar, Sénégal;https://images.coinafrique.com/thumb_3774517_uploaded_image1_1657107012.jpg
1707687736-834;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border11jours;https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-4571573;Vêtement enfant;8 500 CFA;Keur Massar, Sénégal;https://images.coinafrique.com/thumb_3774517_uploaded_image1_1657107012.jpg
1707687746-835;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border7jours;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blouson-pour-fille-4577293;Ensemble blouson pour fille;4 000 CFA;Thies, Sénégal;https://images.coinafrique.com/thumb_4577293_uploaded_image1_1707012822.jpg
1707687753-836;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border4jours;https://sn.coinafrique.com/annonce/vetements-enfants/deguisements-enfants-4582392;Déguisements enfants;5 000 CFA;Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_4582392_uploaded_image1_1707296640.jpg
1707687761-837;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border2jours;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-pour-bebe-4585357;Vêtements pour bébé;500 CFA;Sicap Liberté, Dakar, Sénégal;
1707687767-838;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border9heures;https://sn.coinafrique.com/annonce/vetements-enfants/robe-bebe-0-9-mois-4588746;Robe bébé 0 - 9 mois;2 000 CFA;Thies, Sénégal;
1707687775-839;1;1;https://sn.coinafrique.com/categorie/vetements-enfants?page=1;favorite_border4heures;https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfants-4556181;Blouson enfants;8 500 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4556181_uploaded_image1_1705852562.jpg
1707686031-672;2;2;https://sn.coinafrique.com/categorie/vetements-enfants?page=2;favorite_border1année;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-robe-enfants-3990865;Ensemble Robe enfants;28 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4370465_uploaded_image1_1694292219.jpg
1707686044-673;2;2;https://sn.coinafrique.com/categorie/vetements-enfants?page=2;favorite_border1année;https://sn.coinafrique.com/annonce/vetements-enfants/maillots-senegal-enfants-3991237;Maillots Sénégal enfants;10 000 CFA;Dieuppeul-Derklé, Dakar, Sénégal;https://images.coinafrique.com/thumb_3991237_uploaded_image1_1670029654.jpg
1707686054-674;2;2;https://sn.coinafrique.com/categorie/vetements-enfants?page=2;favorite_border1année;https://sn.coinafrique.com/annonce/vetements-enfants/pull-enfant-friperie-4000076;Pull enfant friperie;Prix sur demande;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4000076_uploaded_image2_1670513327.jpeg
1707686067-675;2;2;https://sn.coinafrique.com/categorie/vetements-enfants?page=2;favorite_border1année;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-friperie-4000087;Ensemble enfant friperie;1 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_4258722_uploaded_image3_1686906376.jpeg
1707686080-676;2;2;https://sn.coinafrique.com/categorie/vetements-enfants?page=2;favorite_border1année;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-3963439;Ensemble enfant;8 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4512928_uploaded_image1_1703449636.jpg
1707686092-677;2;2;https://sn.coinafrique.com/categorie/vetements-enfants?page=2;favorite_border1année;https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-3963440;Ensemble enfant;8 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_4512928_uploaded_image1_1703449636.jpg
